x_geometry,x_objectid_1,x_id,x_name,x_telephone,x_address,x_address2,x_city,x_state,x_zip,x_zipp4,x_county,x_fips,x_directions,x_emergtitle,x_emergtel,x_emergext,x_contdate,x_conthow,x_geodate,x_geohow,x_hsipthemes,x_naicscode,x_naicsdescr,x_geolinkid,x_x,x_y,x_st_vendor,x_st_version,x_geoprec,x_phoneloc,x_qc_qa,x_port_type,x_bordpatsec,x_contact,x_fax_number,x_hours_oper,x_remark,x_ruleid,x_objectid
POINT (-82.425794324 42.975070419),301,11616965,"PORT HURON PORT OF ENTRY, PORT OF HURON",810-985-7125,526 WATER STREET,ROOM 301,PORT HURON,MI,48060,5439,ST CLAIR,26147,,,,,2009-12-22T00:00:00.000Z,ALT REF,2009-12-22T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,127324006,-82.425794,42.97507,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-80.123693159 26.0815304382),302,11616966,"PORT EVERGLADES/FORT LAUDERDALE PORT OF ENTRY, PORT EVERGLADES",954-761-2000,1800 ELLER DRIVE,SUITE 104,FORT LAUDERDALE,FL,33316,4209,BROWARD,12011,,,,,2009-12-21T00:00:00.000Z,ALT REF,2009-12-21T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,122642489,-80.123693,26.08153,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,,,,,0,0
POINT (-83.5460055174 42.2369723277),25,11550097,"DETROIT METROPOLITAN AIRPORT PORT OF ENTRY, WILLOW RUN AIRPORT",734-485-6668,801 WILLOW RUN AIRPORT,,YPSILANTI,MI,48198,0899,WASHTENAW,26161,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,19687605,-83.546006,42.236972,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,734-485-6677,4:00 PM - 12:00 AM,,1,98
POINT (-122.807624557 48.0567038058),26,11624701,"SEATTLE PORT OF ENTRY/TACOMA WASHINGTON PORT OF ENTRY, JEFFERSON COUNTY INTERNATIONAL AIRPORT",360-385-3777,103 AIRPORT ROAD,,PORT TOWNSEND,WA,98368,9716,JEFFERSON,53031,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.",,,,2010-01-04T00:00:00.000Z,ALT REF,2010-01-04T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,121282267,-122.807625,48.056704,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-122.313950338 37.8091501573),303,11624695,"SAN FRANCISCO PORT OF ENTRY, PORT OF OAKLAND",510-273-4336,700 MARITIME STREET,,OAKLAND,CA,94607,1001,ALAMEDA,06001,,,,,2009-12-31T00:00:00.000Z,ALT REF,2009-12-31T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,773240239,-122.31395,37.80915,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-118.28193324 33.7406475759),304,11624746,"LOS ANGELES/LONG BEACH SEAPORT PORT OF ENTRY, PORT OF LOS ANGELES",562-366-5555,425 SOUTH PALOS VERDES STREET,,SAN PEDRO,CA,90731,3309,LOS ANGELES,06037,,,,,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,23933864,-118.281933,33.740648,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-82.6536603349 41.4303459537),27,11550135,"TOLEDO-SANDUSKY PORT OF ENTRY, GRIFFING / SANDUSKY AIRPORT",419-625-0022,3115 CLEVELAND ROAD,,SANDUSKY,OH,44870,4417,ERIE,39043,,,,,2009-09-18T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,123316867,-82.65366,41.430346,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,419-259-3703,8:00 AM - 4:30 PM,,1,140
POINT (-92.2172092731 34.7335288727),28,11549999,"LITTLE ROCK/LITTLE ROCK NORTH PORT OF ENTRY, ADAMS FIELD AIRPORT",501-324-5289,1100 TEMPLE STREET,AIR CARGO BUILDING,LITTLE ROCK,AR,72202,3300,PULASKI,05119,,,,,2009-12-29T00:00:00.000Z,PHONE,2009-12-29T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,126848424,-92.217209,34.733529,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,501-324-5798,8:00 AM - 5:00 PM,,1,18
POINT (-85.8722065059 45.9687707746),305,11624736,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, PORT INLAND SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA,,SAULT SAINTE MARIE,MI,49783,,SCHOOLCRAFT,26153,ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY.,,,,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,775115354,-85.872207,45.968771,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-84.2751364005 45.9830678445),306,11624735,"SAULT SAINTE MARIE PORT OF ENTRY / SAGINAW/BAY CITY/FLINT PORT OF ENTRY, PORT DOLOMITE SEAPORT",906-632-2631,900 INTERNATIONAL BRIDGE PLAZA,,SAULT SAINTE MARIE,MI,49783,,MACKINAC,26097,ADDRESS GOES TO ADMINISTRATION BUILDING FOR THE SAULT SAINTE MARIE PORT OF ENTRY.,,,,2010-01-07T00:00:00.000Z,ALT REF,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,122979097,-84.275136,45.983068,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-80.3656263583 27.4882758041),29,11616942,"WEST PALM BEACH PORT OF ENTRY, SAINT LUCIE COUNTY INTERNATIONAL AIRPORT",772-461-1733,2990 CURTIS KING BOULEVARD,GENERAL AVIATION BUILDING,FORT PIERCE,FL,34946,9101,ST LUCIE,12111,,,,,2009-12-18T00:00:00.000Z,PHONE,2009-12-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,117117734,-80.365626,27.488276,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-95.9043916869 41.3066570105),30,11550116,"OMAHA PORT OF ENTRY, EPPLEY AIRFIELD",402-341-0240,5229 BOEING COURT,BUILDING 4310,OMAHA,NE,68110,2661,DOUGLAS,31055,,,,,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,42297997,-95.904392,41.306657,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,402-341-2117,8:00 AM - 4:30 PM,,1,119
POINT (-122.752266233 45.6370736125),307,11617013,"PORTLAND PORT OF ENTRY, PORT OF PORTLAND",503-240-6700,7201 NORTH MARINE DRIVE,,PORTLAND,OR,97203,6450,MULTNOMAH,41051,ENTITY UNCOOPERATIVE UNABLE TO VERIFY MAIN BUILDING AT TERMINAL PLOTTED IN THE CENTER OF THE CLUSTER OF BUILDINGS,,,,2009-12-22T00:00:00.000Z,ALT REF,2009-12-22T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,124509945,-122.752266,45.637074,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-93.9369237952 29.8670915345),308,11550176,"PORT ARTHUR-BEAUMONT PORT OF ENTRY / SABINE PORT OF ENTRY, PORT ARTHUR INTERNATIONAL PUBLIC PORT",409-727-2895,221 HOUSTON AVENUE,,PORT ARTHUR,TX,77640,6415,JEFFERSON,48245,,,,,2010-01-08T00:00:00.000Z,ALT REF,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,711763173,-93.936924,29.867092,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,PORT DIRECTOR,409-727-6360,8:00 AM-12:00 PM,,1,183
POINT (-106.464593968 42.8970925908),31,11550515,"NATRONA COUNTY AIRPORT PORT OF ENTRY, CASPER/NATRONA COUNTY INTERNATIONAL AIRPORT",307-797-2097,8500 AIRPORT PARKWAY,SUITE 217,CASPER,WY,82604,1324,NATRONA,56025,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,706795841,-106.464594,42.897093,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,,,,,0,0
POINT (-64.795352878 18.331272823),32,11553208,"CRUZ BAY-SAINT JOHN PORT OF ENTRY, CRUZ BAY DOCK",340-776-6741,STRAND STREET,CRUZ BAY CUSTOMS HOUSE,SAINT JOHN,VI,00830,,ST JOHN ISLAND,78020,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,120282980,-64.795353,18.331273,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,,,,,0,0
POINT (-80.6809166828 37.1386921021),309,11550179,"NEW RIVER VALLEY AIRPORT PORT OF ENTRY, NEW RIVER VALLEY AIRPORT",540-674-4414,5389 CV JACKSON ROAD,SUITE 2,DUBLIN,VA,24084,2637,PULASKI,51155,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,123457219,-80.680917,37.138692,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,540-674-4527,MONDAY- FRIDAY 8-5:0,LANDING RIGHTS/USER FEE AIRPORT  1-877-CUSTOMS TO,1,186
POINT (-111.984419653 40.7867293654),310,11550178,"SALT LAKE CITY PORT OF ENTRY, SALT LAKE INTERNATIONAL AIRPORT",801-524-3445,3850 NORTH TERMINAL DRIVE,INTERNATIONAL ARRIVALS BUILDING,SALT LAKE CITY,UT,84116,,SALT LAKE,49035,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,32093600,-111.98442,40.786729,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,801-524-3447,8:00 AM - 5:00 PM,,1,185
POINT (-90.3842656653 47.8360830163),33,11624682,"GRAND PORTAGE PORT OF ENTRY, GRAND MARAIS COOK COUNTY AIRPORT",218-475-2244,123 AIRPORT ROAD,,GRAND MARAIS,MN,55604,2304,COOK,27031,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.",,,,2010-01-08T00:00:00.000Z,PHONE,2010-01-08T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,100866387,-90.384266,47.836083,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT,,,,,,0,0
POINT (-64.9388754381 18.3387103889),34,11616963,"CHARLOTTE AMALIE AREA PORT OF SAINT THOMAS PORT OF ENTRY, PORT OF CHARLOTTE AMALIE",340-774-2510,VETERANS DRIVE,,CHARLOTTE AMALIE,VI,00802,,ST THOMAS ISLAND,78030,,,,,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,120281292,-64.938875,18.33871,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,,,,,0,0
POINT (-82.5608167017 27.6324835573),311,11550031,"PORT MANATEE PORT OF ENTRY, PORT MANATEE",941-729-9301,400 TAMPA BAY WAY,,PALMETTO,FL,34221,6614,MANATEE,12081,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,17170129,-82.560817,27.632484,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,PORT DIRECTOR,941-729-9301,,,1,52
POINT (-89.9518231635 35.0627586795),312,11550165,"MEMPHIS PORT OF ENTRY, MEMPHIS INTERNATIONAL AIRPORT",901-544-0290,3150 TCHULAHOMA ROAD,SUITE 1,MEMPHIS,TN,38118,2730,SHELBY,47157,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,24928432,-89.951823,35.062759,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,901-544-0294,8:00 AM - 5:00 PM,,1,171
POINT (-155.054336917 19.7280577435),35,11624689,"HILO PORT OF ENTRY, PORT OF HILO",808-933-6975,29 KUHIO STREET,,HILO,HI,96720,4726,HAWAII,15001,,,,,2009-12-30T00:00:00.000Z,PHONE,2010-01-06T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,115757401,-155.054337,19.728058,NAVTEQ,2009Q2,ONENTITY,YES,TGS,WATER PORT,,,,,,0,0
POINT (-81.4975994456 31.1480432364),36,11550036,"BRUNSWICK PORT OF ENTRY, PORT OF BRUNSWICK",912-262-6692,100 GLOUCESTER STREET,,BRUNSWICK,GA,31520,7000,GLYNN,13127,,,,,2010-01-07T00:00:00.000Z,PHONE,2010-01-07T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,104838358,-81.497599,31.148043,NAVTEQ,2009Q2,ONENTITY,NO,TGS,WATER PORT,,PORT DIRECTOR,912-262-0235,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,59
POINT (-96.8090529812 46.9084739583),313,11550115,"FARGO-HECTOR INTERNATIONAL AIRPORT PORT OF ENTRY, HECTOR INTERNATIONAL AIRPORT",701-241-8124,1801 23RD AVENUE NORTH,ROOM 105,FARGO,ND,58102,1047,CASS,38017,,,,,2009-09-17T00:00:00.000Z,ALT REF,2009-09-17T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,122865427,-96.809053,46.908474,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,701-241-8124,24 HOURS,,1,118
POINT (-110.937456192 32.1197554251),314,11550002,"TUCSON PORT OF ENTRY, TUCSON INTERNATIONAL AIRPORT",520-799-8348,7250 SOUTH TUCSON BOULEVARD,,TUCSON,AZ,85756,6949,PIMA,04019,,,,,2009-09-11T00:00:00.000Z,PHONE,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,737239185,-110.937456,32.119755,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,520-408-6760,8:00 AM - 4:30 PM,,1,21
POINT (-123.017712258 48.5369093439),37,11624758,"SUMAS PORT OF ENTRY, PORT OF FRIDAY HARBOR",360-378-2080,271 FRONT STREET NORTH,,FRIDAY HARBOR,WA,98250,,SAN JUAN,53055,,,,,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,119677501,-123.017712,48.536909,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-100.525420659 28.861554977),38,11624756,"EAGLE PASS PORT OF ENTRY, MAVERICK COUNTY MEMORIAL INTERNATIONAL AIRPORT",830-758-5427,1814 INDUSTRIAL BOULEVARD,,EAGLE PASS,TX,78852,5279,MAVERICK,48323,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.",,,,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,97168919,-100.525421,28.861555,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,,,,,0,0
POINT (-75.4691421183 39.124162686),39,11624759,"WILMINGTON PORT OF ENTRY, DOVER AIR FORCE BASE-DOD",302-677-4098,LA JES STREET,,DOVER AIR FORCE BASE,DE,19902,,KENT,10001,,,,,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,87953943,-75.469142,39.124163,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-69.0078075946 44.4252478925),40,11550069,"BELFAST PORT OF ENTRY, BELFAST HARBOR",207-338-3954,1 FRANKLIN STREET,,BELFAST,ME,04915,6518,WALDO,23027,,,,,2010-01-12T00:00:00.000Z,PHONE,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,90023169,-69.007808,44.425248,NAVTEQ,2009Q2,ONENTITY,,TGS,WATER PORT,,PORT DIRECTOR,207-338-3954,8:00 AM - 5:00 PM,,1,94
POINT (-76.66826289 39.1823121786),315,11549988,"PORT OF ENTRY AT BALTIMORE/WASHINGTON INTERNATIONAL AIRPORT, BALTIMORE/WASHINGTON INTERNATIONAL THURGOOD MARSHALL AIRPORT",410-865-2100,7590 FRIENDSHIP ROAD,,BALTIMORE,MD,21240,,ANNE ARUNDEL,24003,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,765160498,-76.668263,39.182312,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,410-962-2747,8:00 AM - 9:00 PM,1-877-CUSTOMS,1,6
POINT (-87.8903775279 41.9748975075),316,11550044,"CHICAGO PORT OF ENTRY, CHICAGO O'HARE INTERNATIONAL AIRPORT",773-894-2900,10000 BESSIE COLEMAN DRIVE,O'HARE INTERNATIONAL ARRIVALS BUILDING - T5,CHICAGO,IL,60666,5037,COOK,17031,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,19950654,-87.890377,41.974897,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,773-894-2888,24,,1,68
POINT (-106.700944423 31.8758584114),41,11624760,"COLUMBUS PORT OF ENTRY / SANTA TERESA PORT OF ENTRY, DONA ANA COUNTY AIRPORT AT SANTA TERESA",575-589-9354,8000 AIRPORT ROAD,,SANTA TERESA,NM,88008,9719,DONA ANA,35013,"CUSTOMS AND BORDER PROTECTION OFFICERS ARE NOT STATIONED ON SITE, MUST CALL PRIOR TO LANDING.",,,,2010-01-12T00:00:00.000Z,ALT REF,2010-01-12T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,716720540,-106.700944,31.875858,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,,,,,0,0
POINT (-83.3286657035 42.2268184215),42,11550089,"DETROIT METROPOLITAN AIRPORT PORT OF ENTRY, DETROIT METROPOLITAN WAYNE COUNTY AIRPORT",734-941-6180,2596 WORLDGATEWAY PLACE,EDWARD H MCNAMARA TERMINAL,DETROIT,MI,48242,6284,WAYNE,26163,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,123189359,-83.328666,42.226818,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,,,,1,207
POINT (-170.230446559 57.1577839776),317,11549969,"PORT OF ENTRY AT SAINT PAUL, SAINT PAUL ISLAND AIRPORT",907-271-2675,JEEP TRAIL,,SAINT PAUL ISLAND,AK,99660,,ALEUTIANS WEST,02016,,,,,2009-09-16T00:00:00.000Z,ALT REF,2009-10-27T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,126063612,-170.230447,57.157784,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,907-271-6631,9:00 AM - 5:00 PM,,1,12
POINT (-87.3036974725 39.4593746597),318,11550054,"PORT OF ENTRY AT TERRE HAUTE, TERRE HAUTE INTERNATIONAL AIRPORT-HULMAN FIELD",812-877-2524,581 SOUTH AIRPORT STREET,,TERRE HAUTE,IN,47803,9705,VIGO,18167,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-11T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,736024189,-87.303697,39.459375,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,812-877-3853,8:00 AM - 4:00 PM,,1,78
POINT (-81.7553073807 26.5280079772),43,11550020,"FORT MYERS PORT OF ENTRY, SOUTHWEST FLORIDA INTERNATIONAL AIRPORT",239-561-6205,11000 TERMINAL ACCESS ROAD,SUITE 8636,FORT MYERS,FL,33913,8211,LEE,12071,,,,,2009-09-15T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,127647427,-81.755307,26.528008,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,941-561-6218,8:30 AM - 5:00 PM,1-877-CUSTOMS,1,41
POINT (-90.0750945583 32.3101421548),44,11550106,"VICKSBURG PORT OF ENTRY, JACKSON-EVERS INTERNATIONAL AIRPORT",601-932-3324,710 AIRPORT ROAD,"BAY 15, SUITE A",FLOWOOD,MS,39232,3002,RANKIN,28121,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-21T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,114378824,-90.075095,32.310142,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,606-932-4114,8:00 AM - 4:00 PM,,1,107
POINT (-78.7929972656 35.8772871235),319,11550112,"RALEIGH-DURHAM PORT OF ENTRY, RALEIGH-DURHAM INTERNATIONAL AIRPORT",919-840-1160,2400 WEST TERMINAL BOULEVARD,,MORRISVILLE,NC,27560,9217,WAKE,37183,,,,,2009-09-11T00:00:00.000Z,ALT REF,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,125488542,-78.792997,35.877287,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,919-467-0706,8:30 AM - 5:00 PM,1-877-CUSTOMS,1,115
POINT (-147.866878561 64.8176420382),320,11549992,"FAIRBANKS PORT OF ENTRY, FAIRBANKS INTERNATIONAL AIRPORT",907-474-0307,6450 AIRPORT WAY,SUITE 13,FAIRBANKS,AK,99709,4671,FAIRBANKS NORTH STAR,02090,,,,,2009-09-16T00:00:00.000Z,ALT REF,2009-09-16T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,704314463,-147.866879,64.817642,NAVTEQ,2009Q2,ONENTITY,,TGS,AIRPORT,,PORT DIRECTOR,907-474-3035,8:00 AM - 5:00 PM,,1,9
POINT (-118.371019445 33.9355004101),45,11550005,"LOS ANGELES INTERNATIONAL AIRPORT PORT OF ENTRY, LOS ANGELES INTERNATIONAL AIRPORT",310-215-2618,11099 SOUTH LA CIENEGA BOULEVARD,,LOS ANGELES,CA,90045,6143,LOS ANGELES,06037,,,,,2009-09-16T00:00:00.000Z,PHONE,2009-09-15T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,126490044,-118.371019,33.9355,NAVTEQ,2009Q2,ONENTITY,YES,TGS,AIRPORT,,PORT DIRECTOR,310-215-2013,8:00 AM - 4:30 PM,,1,25
POINT (-77.3327602929 37.5076931947),46,11550182,"RICHMOND-PETERSBURG PORT OF ENTRY, RICHMOND INTERNATIONAL AIRPORT",804-226-9675,1 RICHARD E BYRD TERMINAL DRIVE,,RICHMOND,VA,23250,2450,HENRICO,51087,,,,,2009-09-17T00:00:00.000Z,PHONE,2009-09-18T00:00:00.000Z,MANUAL,MISCELLANEOUS; OTHER; BORDER CROSSINGS AND PORTS OF ENTRY,921130,CUSTOMS BUREAUS,128060887,-77.33276,37.507693,NAVTEQ,2009Q2,ONENTITY,NO,TGS,AIRPORT,,PORT DIRECTOR,804-226-1197,8:00 AM - 5:00 PM,1-877-CUSTOMS,1,189
