geometry,objectid,fac_name,name,address,city_state,city,state,zip,operating,medicare,medicare_i,medicaid,medicaid_i,certified,county,admin,phone,emergency,emergenc_1,emergenc_2,emergenc_3,date_geoco,source,geo_tract,geo_county,geo_zip,factype,symbol,latitude,longitude,type
POINT (-105.185369 38.747607),2530,Hill Top Hospital (COOOT0),HILL TOP HOSPITAL,POST OFFICE BOX 397,"CRIPPLE CREEK, CO 80813",CRIPPLE CREEK,CO,80813,01-ACTIVE,t,06009E,f,,0/0,TELLER,,(719) 000-0000,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010201,TELLER,80813,Hospital - non participating,Hospital,38.747607,-105.185368999999,HOSP-NP
POINT (-105.179062 38.7465359999),2531,Peak Vista Community Health Centers - Southern Teller County Health Clinic (CO3B9B),PEAK VISTA C H C - SOUTHERN TELLER COUNTY HEALTH,166 EAST BENNETT AVENUE,"CRIPPLE CREEK, CO 80813",CRIPPLE CREEK,CO,80813,01-ACTIVE,t,061880,f,,0/0,TELLER,,(719) 689-4188,Clint Peterson,(719) 332-0480,,cpeterson@peakvista.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010201,TELLER,80813,Federally Qualified Health Center,FQHC,38.746536,-105.179062,FQHC
POINT (-105.186638 38.7510599999),2532,Peak Vista Community Health Centers - Cripple Creek-Victor Mountain Health (CO061907),PEAK VISTA C H C - CRIPPLE CREEK-VICTOR MTN HEALTH,412 NORTH C STREET,"CRIPPLE CREEK, CO 80813",CRIPPLE CREEK,CO,80813,01-ACTIVE,t,061907,f,,0/0,TELLER,,(719) 689-9230,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010201,TELLER,80813,Federally Qualified Health Center,FQHC,38.75106,-105.186638,FQHC
POINT (-105.1571247 38.9424110003),2533,Peak Vista Community Health Centers - Divide Health Clinic (COIJ6L),PEAK VISTA C H C - DIVIDE HEALTH CLINIC,11115 HIGHWAY 24,"DIVIDE, CO 80814",DIVIDE,CO,80814,01-ACTIVE,t,061879,f,,0/0,TELLER,,(719) 687-4460,Clint Peterson,(719) 332-0480,,cpeterson@peakvista.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010105,TELLER,80814,Federally Qualified Health Center,FQHC,38.942411,-105.1571247,FQHC
POINT (-103.064079 39.2913740001),2534,PEAK VISTA COMMUNITY HEALTH CENTERS (COT2JF),DENTAL CENTER AT FLAGLER,305 PAWNEE AVENUE,"FLAGLER, CO 80815",FLAGLER,CO,80815,01-ACTIVE,t,061882,f,,0/0,KIT CARSON,,(719) 765-4777,Glenda Kinkel,(719) 765-4777,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8063962300,KIT CARSON,80815,Federally Qualified Health Center,FQHC,39.291374,-103.064079,FQHC
POINT (-103.064095 39.2927740003),2535,ASPEN LEAF ASSISTED LIVING RESIDENCE (23W733),ASPEN LEAF ASSISTED LIVING RESIDENCE,419 PAWNEE AVENUE,"FLAGLER, CO 80815",FLAGLER,CO,80815,01-ACTIVE,f,,t,19809778,16/16,KIT CARSON,Ms KATHY DYER,(719) 765-4353,,(303) 906-1643,(888) 898-4928,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8063962300,KIT CARSON,80815,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.292774,-103.064095,ALR/ACF
POINT (-104.697983 38.6840020002),2536,Peak Vista C H C - Peak Vista Fountain Health Clinic (CO061895),PEAK VISTA C H C - PEAK VISTA FOUNTAIN HEALTH CLIN,301 EAST IOWA,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,t,061895,f,,0/0,EL PASO,,(719) 322-0777,Clint Peterson,(719) 332-0480,(719) 322-0776,cpeterson@peakvista.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004511,EL PASO,80817,Federally Qualified Health Center,FQHC,38.684002,-104.697983,FQHC
POINT (-104.708563 38.6847249998),2537,KUSTOM HOUSE CLEANING (10P510),KUSTOM HOUSE CLEANING,1107 ELM STREET,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/0,EL PASO,Ms ELAINE HARVEY,(719) 200-6275,Elaine Havey,(719) 200-6275,,efowler537@hotmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004508,EL PASO,80817,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.684725,-104.708563,HCBS-IDD
POINT (-104.708191 38.6875759999),2538,ALL CARE AT HOME INC (04G425),ALL CARE AT HOME INC,601 DEL NORTE ST,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/0,EL PASO,Ms SHANNON WOODARD (BLUM),(719) 494-3766,Shannon Woodard,(719) 494-3766,(719) 213-2105,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004508,EL PASO,80817,Home Health Agency - HCA license - personal care homemaker,Home Health,38.687576,-104.708191,HCA-PHS
POINT (-104.708191 38.6875759999),2539,ALL CARE AT HOME INC (04U323),ALL CARE AT HOME INC,601 DEL NORTE ST,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/0,EL PASO,Ms SHANNON WOODARD (BLUM),(719) 494-3766,,,(719) 213-2105,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004508,EL PASO,80817,Home Care Agency - In-Home Support Services,Home Health,38.687576,-104.708191,HCA-IHSS
POINT (-104.700943 38.719761),2540,UCHEALTH EMERGENCY ROOM - FOUNTAIN (18J172),UCHEALTH EMERGENCY ROOM - FOUNTAIN,7890 FOUNTAIN MESA RD,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/7,EL PASO,Mr JOEL YUHAS,(719) 390-2690,,,(719) 390-2684,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004507,EL PASO,80817,Community Clinic/Emergency,Clinic,38.719761,-104.700943,CCEC
POINT (-104.69594 38.7176000003),2541,SELECT PHYSICAL THERAPY OF COLORADO SPRINGS (20056L),SELECT PHYSICAL THERAPY OF COLORADO SPRINGS,6980 MESA RIDGE PKWY 100,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,t,066583,f,,0/0,EL PASO,Mr BERNARD CONDEVAUX,(719) 391-0044,Bernard Condevaux,(303) 968-8779,(719) 391-0012,Bernard.Condevaus@selectmedicalcorp.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004503,EL PASO,80817,Outpatient Physical Therapy/Speech Pathology,Rehabilitaton or Recovery,38.7176,-104.69594,OPT-SP
POINT (-104.692146 38.7343479999),2542,PEAK POTENTIAL BEHAVIOR & WELLNESS LLC (10N608),PEAK POTENTIAL BEHAVIOR & WELLNESS LLC,6878 MILLBROOK CIR,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/0,EL PASO,Ms STACEY WILSON,(719) 331-1781,,,(303) 999-9999,behaviorstacey@gmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004503,EL PASO,80817,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.734348,-104.692146,HCBS-IDD
POINT (-104.693748 38.6901970002),2543,"CARNEY COTTAGE, THE (10D459)","CARNEY COTTAGE, THE",704 FOUNTAIN MESA RD,"FOUNTAIN, CO 80817",FOUNTAIN,CO,80817,01-ACTIVE,f,,f,,0/0,EL PASO,Ms TAMMY CARNEY,(719) 233-2290,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041004510,EL PASO,80817,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.690197,-104.693748,HCBS-IDD
POINT (-103.473213 39.1377370002),2544,LINCOLN COMMUNITY HOME HEALTH (040138),LINCOLN COMMUNITY HOME HEALTH,111 6TH ST,"HUGO, CO 80821",HUGO,CO,80821,01-ACTIVE,t,067277,t,5701735,0/0,LINCOLN,Ms CARRIE OWENS,(719) 743-2797,Kathy Richie,(719) 743-2421,(719) 743-2008,krichie@lchnh.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961800,LINCOLN,80821,Home Health Agency - Medicare/Medicaid,Home Health,39.137737,-103.473213,HHA-1819
POINT (-103.473213 39.1377370002),2545,LINCOLN COMMUNITY HOSPITAL NURSING HOME (020167),LINCOLN COMMUNITY HOSPITAL NURSING HOME,111 - 6TH STREET,"HUGO, CO 80821",HUGO,CO,80821,01-ACTIVE,t,065187,t,5653688,35/35,LINCOLN,Ms ERIKA SAFFER,(719) 743-2421,Kathy Richie,(719) 765-4438,(719) 743-2880,Admin: esaffer@lchnh.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961800,LINCOLN,80821,Nursing Home,Assisted Living Residence/Nursing Home,39.137737,-103.473213,SNF/NF
POINT (-103.473213 39.1377370002),2546,LINCOLN COMMUNITY HOSPITAL (010150),LINCOLN COMMUNITY HOSPITAL,111 6TH ST,"HUGO, CO 80821",HUGO,CO,80821,01-ACTIVE,t,061306,t,5062005,15/15,LINCOLN,Mr KEVIN STANSBURY,(719) 743-2421,Kathy Richie,(719) 349-2115,(719) 743-2861,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961800,LINCOLN,80821,Critical Access Hospital,Hospital,39.137737,-103.473213,HOSP-CAH
POINT (-103.469147 39.1374510001),2547,LINCOLN PARK LIVING CENTER (2301FB),LINCOLN PARK LIVING CENTER,323 SEVENTH STREET,"HUGO, CO 80821",HUGO,CO,80821,01-ACTIVE,f,,t,86101846,10/12,LINCOLN,Ms JESSICA BORNS,(719) 743-2421,Jessica Weeks,(719) 743-2777,(719) 743-2880,jweeks@lchnh.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961800,LINCOLN,80821,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.137451,-103.469147,ALR/ACF
POINT (-103.473213 39.1377370002),2548,LINCOLN COMMUNITY HOME HEALTH AND HOSPICE (17X799),LINCOLN COMMUNITY HOME HEALTH AND HOSPICE,111 6TH ST,"HUGO, CO 80821",HUGO,CO,80821,01-ACTIVE,t,061552,t,64239713,0/0,LINCOLN,Ms CARRIE OWENS,(719) 743-2797,Kevin Stansbury,,(719) 743-2008,kstansbury@lchnh.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961800,LINCOLN,80821,Hospice (Medicare),Hospice,39.137737,-103.473213,HOSPICE
POINT (-102.794373 38.7635879997),2549,KIT CARSON CLINIC (07R589),KIT CARSON CLINIC,102 EAST 2ND AVENUE,"KIT CARSON, CO 80825",KIT CARSON,CO,80825,01-ACTIVE,t,063999,f,,0/0,CHEYENNE,MR CURTIS HAWKINSON,(719) 962-3501,"Carl Blodgett, Safety Dir",(719) 767-5662,(719) 962-3403,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8017960600,CHEYENNE,80825,Rural Health Clinic,Clinic,38.763588,-102.794373,RHC
POINT (-102.789574 38.7653920003),2550,TOUCHING HEARTS AT HOME (04X758),TOUCHING HEARTS AT HOME,406 DEPEE ST,"KIT CARSON, CO 80825",KIT CARSON,CO,80825,01-ACTIVE,f,,f,,0/0,CHEYENNE,Ms TARA GAYNOR,(719) 962-3203,,,(719) 962-6203,tweber_adnlcc@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8017960600,CHEYENNE,80825,Home Health Agency - HCA license - personal care homemaker,Home Health,38.765392,-102.789574,HCA-PHS
POINT (-103.695671 39.2155379997),2551,LIMON CORRECTIONAL FACILITY (180102),LIMON CORRECTIONAL FACILITY,49030 STATE HWY 71 SOUTH,"LIMON, CO 80826",LIMON,CO,80826,01-ACTIVE,f,,f,,0/0,LINCOLN,Ms NICOLE BLATNICK,(719) 775-9221,Nicole Blatnick,(719) 775-7669,(719) 775-7651,nicole.blatnick@state.co.us,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961700,LINCOLN,80828,Department of Corrections Clinic,Clinic,39.215538,-103.695671,CCDOC
POINT (-103.704414 39.2680399998),2552,CARLAS CLUSTER CARE INC (23S688),CARLAS CLUSTER CARE INC,2050 6TH ST,"LIMON, CO 80828",LIMON,CO,80828,01-ACTIVE,f,,t,56388837,20/30,LINCOLN,Ms JAYNE ASHCRAFT,(719) 775-9412,Jayne Ashcraft,(719) 740-0548,(719) 775-9426,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961700,LINCOLN,80828,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.26804,-103.704414,ALR/ACF
POINT (-103.686859 39.2608760003),2553,PEAK VISTA COMMUNITY HEALTH CENTERS (COYIBB),HEALTH CENTER AT LIMON,820 FIRST STREET,"LIMON, CO 80828",LIMON,CO,80828,01-ACTIVE,t,061881,f,,0/0,LINCOLN,,(719) 775-2367,Linda Messer,(719) 775-2367,,lmesser@plainsmedicalcenter.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961700,LINCOLN,80828,Federally Qualified Health Center,FQHC,39.260876,-103.686859,FQHC
POINT (-103.699631 39.2686039999),2554,CARLA'S CLUSTER CARE NE CAMPUS (23L627),CARLA'S CLUSTER CARE NE CAMPUS,1750 CIRCLE LANE,"LIMON, CO 80828",LIMON,CO,80828,01-ACTIVE,f,,f,,22/22,LINCOLN,Ms JAYNE ASHCRAFT,(719) 775-9031,Jayne Ashcraft,(719) 740-0548,(719) 775-8775,jaashcra@hotmail.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8073961700,LINCOLN,80828,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.268604,-103.699631,ALR/ACF
POINT (-104.083771 39.1423760002),2555,GOOD SAMARITAN SOCIETY SIMLA (020597),GOOD SAMARITAN SOCIETY SIMLA,320 PUEBLO AVE,"SIMLA, CO 80835",SIMLA,CO,80835,01-ACTIVE,t,06A171,t,5653506,30/30,ELBERT,Ms MELODIE SEDILLO,(719) 541-2269,Brenda Atwell,(719) 648-4043,(719) 541-2950,batwell@good-sam.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8039961100,ELBERT,80835,Nursing Home,Assisted Living Residence/Nursing Home,39.142376,-104.083771,NF
POINT (-102.604347 39.3047099997),2556,ASPEN LEAF ASSISTED LIVING RESIDENCE INC-STRATTON (230186),ASPEN LEAF ASSISTED LIVING RESIDENCE INC-STRATTON,410 MAIN ST,"STRATTON, CO 80836",STRATTON,CO,80836,01-ACTIVE,f,,t,63801868,12/12,KIT CARSON,Ms KATHY DYER,(719) 348-4666,Kathy Dyer,(303) 906-1643,(888) 898-4928,kathy@aspenleafassistedliving.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8063962200,KIT CARSON,80836,Assisted Living Residence,Assisted Living Residence/Nursing Home,39.30471,-102.604347,ALR/ACF
POINT (-102.607704 39.3006940002),2557,STRATTON MEDICAL CLINIC (07R281),STRATTON MEDICAL CLINIC,500 NEBRASKA AVENUE,"STRATTON, CO 80836",STRATTON,CO,80836,01-ACTIVE,t,063401,f,,0/0,KIT CARSON,COREY FEDIE,(719) 348-4650,,,(719) 348-4653,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8063962200,KIT CARSON,80836,Rural Health Clinic,Clinic,39.300694,-102.607704,RHC
POINT (-104.885687 38.9931559999),2558,US AIR FORCE ACADEMY HOSPITAL (COBGLF),U S AIR FORCE ACADEMY HOSPITAL,US AIR FORCE ACADEMY,"COLORADO SPRINGS, CO 80912",COLORADO SPRINGS,CO,80912,01-ACTIVE,t,06002F,f,,0/0,EL PASO,,(832) 476-8316,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041003801,EL PASO,80840,Hospital - non participating,Hospital,38.9931559999999,-104.885687,HOSP-NP
POINT (-105.075691 38.9757419997),2559,UCHEALTH PIKES PEAK REGIONAL HOSPITAL (01K180),UCHEALTH PIKES PEAK REGIONAL HOSPITAL,16420 WEST HIGHWAY 24,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,t,061326,t,22981551,15/15,TELLER,Mr JOEL YUHAS,(719) 687-9999,Marianne Benjamin,(719) 364-2111,(719) 686-5725,kimberly.monjesky@uchealth.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010104,TELLER,80863,Critical Access Hospital,Hospital,38.975742,-105.075691,HOSP-CAH
POINT (-105.062279 38.9959259997),2560,DAYBREAK - AN ADULT DAY PROGRAM (10E473),DAYBREAK - AN ADULT DAY PROGRAM,404 N HIGHWAY 67,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,f,,0/0,TELLER,MS PAULA LEVY,(719) 687-3000,,,(719) 687-3002,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010104,TELLER,80863,Adult Day,Adult Day Care Facility,38.995926,-105.062279,ADAY
POINT (-105.075638 38.9746540002),2561,FOREST RIDGE (02D453),FOREST RIDGE,16006 WEST US HIGHWAY 24,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,t,065418,t,75835037,80/80,TELLER,Ms DEBRA MAJORS,(719) 686-6500,Jamie Marie Hutchins,(719) 722-7184,(719) 686-6501,rcall@forestridgehealth.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010104,TELLER,80863,Nursing Home,Assisted Living Residence/Nursing Home,38.974654,-105.075638,SNF/NF
POINT (-105.05069 38.9780770003),2562,QUESTWELL (10J161),QUESTWELL,1005 OLD WAGON ROAD,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,f,,0/0,TELLER,Ms REBECCA MACARUSO,(719) 686-0068,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010104,TELLER,80863,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.978077,-105.05069,HCBS-IDD
POINT (-105.094184 39.0525939997),2563,COLORADO LIONS CAMP (10K610),COLORADO LIONS CAMP,28541 HWY 67N,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,t,85525880,0/0,TELLER,Mr JAMES PIERIE,(719) 687-2087,James Pierie,(719) 682-2087,,coloradolionscamp@msn.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010103,TELLER,80863,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,39.0525939999999,-105.094184,HCBS-IDD
POINT (-105.03363 38.9686849997),2564,"ASPEN, THE (23K559)","ASPEN, THE",107 EAST VILLAGE TERRACE,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,f,,0/24,TELLER,Mr RON WEITNER,(719) 822-1016,Ron Weitner,(859) 396-3318,(719) 822-1017,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010103,TELLER,80863,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.968685,-105.03363,ALRONLY
POINT (-105.044187 38.9856060003),2565,ASPIRE IDDS LLC (10D504),ASPIRE IDDS LLC,380 PARADISE CIRCLE E-6,"WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,f,,0/0,TELLER,MILLICENT MANN,(719) 687-1211,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010103,TELLER,80863,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.985606,-105.044187,HCBS-IDD
POINT (-105.034363 38.971848),2566,"SOLARIS HC CO, INC (17E901)","SOLARIS HC CO, INC","150 MORNING SUN DR, STE 202","WOODLAND PARK, CO 80863",WOODLAND PARK,CO,80863,01-ACTIVE,f,,f,,0/0,TELLER,Ms ANNMARIE ORTEGA,(719) 473-1017,,,(719) 473-1041,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8119010103,TELLER,80863,Hospice (Licensed),Hospice,38.971848,-105.034363,HSPLIC
POINT (-104.815536 38.8422430002),2567,BETHHAVEN HOUSE (230507),BETHHAVEN HOUSE,504 E WILLAMETTE AVE,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,t,4141347,12/12,EL PASO,Mr MICHAEL VAN DE CASTEELE,(719) 328-1609,James L. Johnston,(719) 632-5920,(719) 634-5002,jjohnston@bethhaveninc.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001700,EL PASO,80903,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.842243,-104.815536,ALR/ACF
POINT (-104.815781 38.8432660003),2568,DUNCAN-HART HOUSE (2305ZX),DUNCAN-HART HOUSE,615 N CORONA ST,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,t,4183554,16/16,EL PASO,Mr MICHAEL VAN DE CASTEELE,(719) 471-0149,James L. Johnston,(719) 632-5920,(719) 634-5002,jjohnston@bethaveninc.org,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001700,EL PASO,80903,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.843266,-104.815781,ALR/ACF
POINT (-104.825966 38.8434029997),2569,BROOKDALE MONUMENT VALLEY PARK (2305WD),BROOKDALE MONUMENT VALLEY PARK,10 W MONUMENT ST,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/75,EL PASO,Mr ROBERT MARSHALL BROXSON,(719) 635-6300,Christine O'Brien,(303) 995-2166,(719) 635-6060,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001600,EL PASO,80903,Assisted Living Residence,Assisted Living Residence/Nursing Home,38.843403,-104.825966,ALRONLY
POINT (-104.819267 38.843929),2570,DIGESTIVE DISEASE ENDOSCOPY CENTER (16R304),DIGESTIVE DISEASE ENDOSCOPY CENTER,715 N WEBER ST STE 100,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,t,06C0001083,f,,0/0,EL PASO,Ms ICELA HOWARD-LAWRENCE,(719) 473-6115,"Courtney Waugh, RN",,(719) 473-3688,cwaugh@digestivediseaseclinic.com; Admin ashafii@msn.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001600,EL PASO,80903,Ambulatory Surgical Center,Surgery or Transplant,38.843929,-104.819267,ASC
POINT (-104.824646 38.8441280003),2571,"FRONT RANGE ENDOSCOPY CENTERS, LLC (16C871)","FRONT RANGE ENDOSCOPY CENTERS, LLC",719 N CASCADE AVE,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,t,06C0001119,t,48781339,0/0,EL PASO,Mr BHAKTASHARAN PATEL,(719) 433-7224,Amy Cannella,(719) 651-6732,(719) 433-7225,AHoltzen@frec.biz - Admin is buck1patel@yahoo.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001600,EL PASO,80903,Ambulatory Surgical Center,Surgery or Transplant,38.844128,-104.824646,ASC
POINT (-104.822914 38.84391),2572,HIGHER PEAKS COUNSELING LLC (10S680),HIGHER PEAKS COUNSELING LLC,703 N TEJON ST SUITE B,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,Ms LAUREEN QUINN,(719) 287-1461,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041001600,EL PASO,80903,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.84391,-104.822914,HCBS-IDD
POINT (-104.817856 38.8345990001),2573,UMBRELLA HOME HEALTH CARE INC (04U684),UMBRELLA HOME HEALTH CARE INC,25 NORTH WAHSATCH SUITE 203-A,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,CASSANDRA GIARDINA,(719) 473-6599,,,(719) 632-4262,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002200,EL PASO,80903,Home Health Agency - Licensed only,Home Health,38.834599,-104.817856,HCA-LIC
POINT (-104.817085 38.8295020001),2574,MK LEGACY LLC (10O491),MK LEGACY LLC,422 E VERMIJO AVE SUITE G16,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,Ms CHARLOTTE MCCLANAHAN,(719) 203-1892,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002200,EL PASO,80903,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.829502,-104.817085,HCBS-IDD
POINT (-104.817375 38.8364520003),2575,D.C.ROLFING LIMITED (10Y812),D.C.ROLFING LIMITED,409 E BIJOU ST,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,Ms DINA STEVENS,(719) 201-4791,,,,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002200,EL PASO,80903,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.836452,-104.817375,HCBS-IDD
POINT (-104.816841 38.8321500003),2576,GAINING INDEPENDENCE WITH JENEVIEVE LLC (10J974),GAINING INDEPENDENCE WITH JENEVIEVE LLC,427 E COLORADO AVE SUITE 225,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,Ms JENEVIEVE BRIAND,(719) 651-1978,,,(719) 999-9999,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002200,EL PASO,80903,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.83215,-104.816841,HCBS-IDD
POINT (-104.802757 38.8539310003),2577,SKILLS ACADEMY DP (10I808),SKILLS ACADEMY DP,1430 NORTH HANCOCK AVE,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,f,,f,,0/0,EL PASO,Ms RANDEE VAN NESS,(719) 722-5551,,,(877) 254-6505,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041000800,EL PASO,80903,Home and Community Based Services - Intellectual and developmental disabilities,Home and Community Based Services,38.853931,-104.802757,HCBS-IDD
POINT (-104.823959 38.8240549997),2578,"INDEPENDENCE CENTER, THE (040581)","INDEPENDENCE CENTER, THE",729 S TEJON ST,"COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,t,067212,t,5700067,0/0,EL PASO,Ms INDY FRAZEE,(719) 471-8181,Indy Frazee,(719) 290-5084,(719) 471-7829,,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002300,EL PASO,80903,Home Health Agency - Medicare/Medicaid,Home Health,38.824055,-104.823959,HHA-1819
POINT (-104.819832 38.8331759999),2579,SELECT PHYSICAL THERAPY - SOUTH WEBER (2005XN),SELECT PHYSICAL THERAPY - SOUTH WEBER,"15 SOUTH WEBER STREET, SUITE A","COLORADO SPRINGS, CO 80903",COLORADO SPRINGS,CO,80903,01-ACTIVE,t,066572,f,,0/0,EL PASO,Mr BERNARD CONDEVAUX,(719) 630-7774,Bernard Condevaux,(303) 968-8779,(719) 630-7190,condevab@selectmedical.com,2020-03-01,CDPHE Health Facilities and Emergency Medical Services Division,8041002300,EL PASO,80903,Outpatient Physical Therapy/Speech Pathology,Rehabilitaton or Recovery,38.833176,-104.819832,OPT-SP
